,Ra,Rb,R3,V
0,-3.7,-2.9,13.80355866341786,597.3404455909593
1,-3.7,-2.8,13.799000481470083,597.143193092371
2,-3.7,-2.7,13.789734609931266,596.7422182445982
3,-3.7,-2.6,13.775699094389925,596.1348400088841
4,-3.7,-2.5,13.756797996401945,595.316906708523
5,-3.7,-2.4,13.7328979996895,594.2826491642224
6,-3.7,-2.3,13.703823443895429,593.0244657829023
7,-3.7,-2.2,13.669349328751188,591.5326198173985
8,-3.7,-2.1,13.629191585211842,589.79481835586
9,-3.7,-2.0,13.688075733830647,592.3429933904197
10,-3.7,-1.9,13.748350635718543,594.9513524106981
11,-3.7,-1.8,13.802260753709529,597.2842793527873
12,-3.7,-1.7,13.850276865253974,599.3621468190601
13,-3.7,-1.6,13.892779851578387,601.20143720852
14,-3.7,-1.5,13.930079879605204,602.8155728024914
15,-3.7,-1.4,13.962430215487906,604.2155135367893
16,-3.7,-1.3,13.99003734292197,605.4101948653554
17,-3.7,-1.2,14.013068463470711,606.4068523322087
18,-3.7,-1.1,14.03165708997602,607.2112636228298
19,-3.7,-1.0,14.045907211393502,607.8279287948194
20,-3.7,-0.9,14.055896354577943,608.2602027747663
21,-3.7,-0.8,14.06167776474518,608.510389716384
22,-3.7,-0.7,14.063281853023577,608.5798056424035
23,-3.7,-0.6,14.06071700511088,608.468813438697
24,-3.7,-0.5,14.053969801950993,608.1768324039294
25,-3.7,-0.4,14.04300466612201,607.7023229472189
26,-3.7,-0.3,14.02776291195438,607.0427454825896
27,-3.7,-0.2,14.008161139229703,606.1944909172822
28,-3.7,-0.1,13.984088865146532,605.1527781765427
29,-3.7,0.1,13.984088865146532,605.1527781765427
30,-3.7,0.2,14.008161139229703,606.1944909172822
31,-3.7,0.3,14.02776291195438,607.0427454825896
32,-3.7,0.4,14.04300466612201,607.7023229472189
33,-3.7,0.5,14.053969801950993,608.1768324039294
34,-3.7,0.6,14.06071700511088,608.468813438697
35,-3.7,0.7,14.063281853023577,608.5798056424035
36,-3.7,0.8,14.06167776474518,608.510389716384
37,-3.7,0.9,14.055896354577943,608.2602027747663
38,-3.7,1.0,14.045907211393502,607.8279287948194
39,-3.7,1.1,14.03165708997602,607.2112636228298
40,-3.7,1.2,14.013068463470711,606.4068523322087
41,-3.7,1.3,13.990037342921973,605.4101948653554
42,-3.7,1.4,13.962430215487906,604.2155135367893
43,-3.7,1.5,13.930079879605204,602.8155728024914
44,-3.7,1.6,13.892779851578387,601.20143720852
45,-3.7,1.7,13.850276865253974,599.3621468190601
46,-3.7,1.8,13.802260753709529,597.2842793527873
47,-3.7,1.9,13.748350635718543,594.9513524106981
48,-3.7,2.0,13.688075733830647,592.3429933904197
49,-3.7,2.1,13.629191585211842,589.79481835586
50,-3.7,2.2,13.669349328751188,591.5326198173985
51,-3.7,2.3,13.703823443895429,593.0244657829023
52,-3.7,2.4,13.7328979996895,594.2826491642224
53,-3.7,2.5,13.756797996401945,595.316906708523
54,-3.7,2.6,13.775699094389925,596.1348400088841
55,-3.7,2.7,13.789734609931266,596.7422182445982
