,Ra,Rb,R3,V
0,-3.7,-2.9,11.50355866341786,598.140375188338
1,-3.7,-2.8,11.499000481470084,597.9431226897498
2,-3.7,-2.7,11.489734609931265,597.542147841977
3,-3.7,-2.6,11.475699094389924,596.9347696062629
4,-3.7,-2.5,11.456797996401946,596.1168363059018
5,-3.7,-2.4,11.432897999689501,595.0825787616013
6,-3.7,-2.3,11.40382344389543,593.8243953802812
7,-3.7,-2.2,11.369349328751188,592.3325494147773
8,-3.7,-2.1,11.329191585211841,590.5947479532388
9,-3.7,-2.0,11.388075733830647,593.1429229877984
10,-3.7,-1.9,11.448350635718544,595.7512820080768
11,-3.7,-1.8,11.502260753709528,598.084208950166
12,-3.7,-1.7,11.550276865253974,600.1620764164388
13,-3.7,-1.6,11.592779851578388,602.0013668058989
14,-3.7,-1.5,11.630079879605205,603.6155023998701
15,-3.7,-1.4,11.662430215487905,605.0154431341681
16,-3.7,-1.3,11.690037342921972,606.2101244627341
17,-3.7,-1.2,11.713068463470712,607.2067819295875
18,-3.7,-1.1,11.731657089976022,608.0111932202087
19,-3.7,-1.0,11.7459072113935,608.627858392198
20,-3.7,-0.9,11.755896354577942,609.060132372145
21,-3.7,-0.8,11.76167776474518,609.3103193137628
22,-3.7,-0.7,11.763281853023578,609.3797352397822
23,-3.7,-0.6,11.76071700511088,609.2687430360758
24,-3.7,-0.5,11.753969801950994,608.9767620013083
25,-3.7,-0.4,11.743004666122012,608.5022525445978
26,-3.7,-0.3,11.727762911954379,607.8426750799683
27,-3.7,-0.2,11.708161139229702,606.994420514661
28,-3.7,-0.1,11.684088865146531,605.9527077739214
29,-3.7,0.1,11.684088865146531,605.9527077739214
30,-3.7,0.2,11.708161139229702,606.994420514661
31,-3.7,0.3,11.727762911954379,607.8426750799683
32,-3.7,0.4,11.743004666122012,608.5022525445978
33,-3.7,0.5,11.753969801950994,608.9767620013083
34,-3.7,0.6,11.76071700511088,609.2687430360758
35,-3.7,0.7,11.763281853023578,609.3797352397822
36,-3.7,0.8,11.76167776474518,609.3103193137628
37,-3.7,0.9,11.755896354577942,609.060132372145
38,-3.7,1.0,11.7459072113935,608.627858392198
39,-3.7,1.1,11.731657089976022,608.0111932202087
40,-3.7,1.2,11.713068463470712,607.2067819295875
41,-3.7,1.3,11.690037342921972,606.2101244627341
42,-3.7,1.4,11.662430215487905,605.0154431341681
43,-3.7,1.5,11.630079879605205,603.6155023998701
44,-3.7,1.6,11.592779851578388,602.0013668058989
45,-3.7,1.7,11.550276865253974,600.1620764164388
46,-3.7,1.8,11.502260753709528,598.084208950166
47,-3.7,1.9,11.448350635718544,595.7512820080768
48,-3.7,2.0,11.388075733830647,593.1429229877984
49,-3.7,2.1,11.329191585211841,590.5947479532388
50,-3.7,2.2,11.369349328751188,592.3325494147773
51,-3.7,2.3,11.40382344389543,593.8243953802812
52,-3.7,2.4,11.432897999689501,595.0825787616013
53,-3.7,2.5,11.456797996401946,596.1168363059018
54,-3.7,2.6,11.475699094389924,596.9347696062629
55,-3.7,2.7,11.489734609931265,597.542147841977
56,-3.7,2.8,11.499000481470084,597.9431226897498
57,-3.7,2.9,11.50355866341786,598.140375188338
58,-3.6,-2.9,11.523862167115652,596.3073479688132
59,-3.6,-2.8,11.519346913814584,596.1119531808037
60,-3.6,-2.7,11.510168866942106,595.7147788910323
61,-3.6,-2.6,11.496267830706412,595.1132201639185
62,-3.6,-2.5,11.477550638871037,594.3032452883247
63,-3.6,-2.4,11.472861738638183,594.10033603697
64,-3.6,-2.3,11.547839158086905,597.3449373919419
65,-3.6,-2.2,11.605393529947008,599.8355671614762
66,-3.6,-2.1,11.648760842965057,601.712260752886
67,-3.6,-2.0,11.679860963567972,603.0580991958457
68,-3.6,-1.9,11.699859668045448,603.9235307367335
69,-3.6,-1.8,11.709428644427916,604.3376222587482
70,-3.6,-1.7,11.708869950208925,604.3134451127049
71,-3.6,-1.6,11.698166276092863,603.8502502495649
72,-3.6,-1.5,11.676978158749382,602.9333476041093
