,R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E,i0,ip1,it1,it2,ip2,it3,it4
0,4.6,1.0,53.0,0.0,0.0,1.6,-0.2,12.8,-2.6543566322070546,0.8532115417765453,-0.17001630435697734,-1.2072118954965845,-1.3433050094172359,-0.30578813306055963,-0.2509356014197692,-0.23031123023247346
1,4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.0,-3.760324809292797,-0.641977870487608,-0.1463729825336486,-1.0493830904597417,-1.2079523574793711,-0.2745770405745134,-0.22937310265842825,-0.21068836509948596
2,4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.2,-3.9782621698104776,-1.2601894272956997,-0.12578312447294593,-0.8948537328979,-1.0500281706335954,-0.2459098738618195,-0.2092099513974972,-0.1922878892510198
3,4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.4,-3.735966126434505,-1.3994464465649799,-0.10784512374084443,-0.7524290431756526,-0.891105615592096,-0.21961846004705876,-0.19031939032720402,-0.1752020469866693
4,4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.6,-3.301317560079042,-1.3100639223121107,-0.09239206230267882,-0.6266120331711136,-0.7441810518503189,-0.19582579075358808,-0.172784878523089,-0.15945782116614282
5,4.6,1.0,53.0,0.0,0.0,1.6,-0.4,12.8,-2.3450393831008114,1.1368975174846128,-0.14654115529265255,-1.1185560277663171,-1.3941345743951388,-0.3418925483711064,-0.2611025184742175,-0.21971007628599182
6,4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.0,-3.6262497678981163,-0.5143937923712656,-0.12701178912539035,-0.9613290046690963,-1.2781418609665707,-0.3059613258810714,-0.2383370830793865,-0.20107491180533543
7,4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.2,-3.9472468605381437,-1.2257115179672837,-0.10989708115812391,-0.8148763283388689,-1.122801760560833,-0.27303964109160006,-0.2172458444838412,-0.18367468693759292
8,4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.4,-3.7392341984668747,-1.3936582943424582,-0.0951054155593738,-0.6837995296227746,-0.9583910028450191,-0.24311368924099952,-0.19757277850294486,-0.16759348835330456
9,4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.6,-3.3038721529883333,-1.3018774267984554,-0.08206701278686523,-0.5695023480802774,-0.8026135279214941,-0.2158960704691708,-0.1792494865367189,-0.15266628039535135
