X,Y,Z,R,atom
0,1.401938,0,1.7,C
0,0.721584,-1.221313,1.7,C
0,1.405121,-2.475773,1.7,C
0,0.712395,-3.653842,1.7,C
0,-1.401938,0,1.7,C
0,-0.721584,-1.221313,1.7,C
0,-1.405121,-2.475773,1.7,C
0,-0.712395,-3.653842,1.7,C
0,0.721584,1.221313,1.7,C
0,1.405121,2.475773,1.7,C
0,0.712395,3.653842,1.7,C
0,-0.721584,1.221313,1.7,C
0,-1.405121,2.475773,1.7,C
0,-0.712395,3.653842,1.7,C
0,2.487825,0,1.2,H
0,2.490185,-2.47464,1.2,H
0,1.244162,-4.598637,1.2,H
0,-2.487825,0,1.2,H
0,-2.490185,-2.47464,1.2,H
0,-1.244162,-4.598637,1.2,H
0,2.490185,2.47464,1.2,H
0,1.244162,4.598637,1.2,H
0,-2.490185,2.47464,1.2,H
0,-1.244162,4.598637,1.2,H
